l=2, n=19, t=5, Greedy Time: 0.0160 seconds, B&B Time: 0.0000 seconds
l=2, n=20, t=2, Greedy Time: 0.0040 seconds, B&B Time: 0.0000 seconds
l=2, n=20, t=3, Greedy Time: 0.0100 seconds, B&B Time: 0.0000 seconds
l=2, n=20, t=4, Greedy Time: 0.0160 seconds, B&B Time: 0.0000 seconds
l=2, n=20, t=5, Greedy Time: 0.0250 seconds, B&B Time: 0.0010 seconds
l=2, n=21, t=2, Greedy Time: 0.0060 seconds, B&B Time: 0.0000 seconds
l=2, n=21, t=3, Greedy Time: 0.0130 seconds, B&B Time: 0.0000 seconds
l=2, n=21, t=4, Greedy Time: 0.0160 seconds, B&B Time: 0.0000 seconds
l=2, n=21, t=5, Greedy Time: 0.0220 seconds, B&B Time: 0.0010 seconds
l=2, n=22, t=2, Greedy Time: 0.0070 seconds, B&B Time: 0.0000 seconds
l=2, n=22, t=3, Greedy Time: 0.0110 seconds, B&B Time: 0.0000 seconds
l=2, n=22, t=4, Greedy Time: 0.0150 seconds, B&B Time: 0.0000 seconds
l=2, n=22, t=5, Greedy Time: 0.0235 seconds, B&B Time: 0.0000 seconds
l=2, n=23, t=2, Greedy Time: 0.0060 seconds, B&B Time: 0.0000 seconds
l=2, n=23, t=3, Greedy Time: 0.0140 seconds, B&B Time: 0.0000 seconds
l=2, n=23, t=4, Greedy Time: 0.0160 seconds, B&B Time: 0.0010 seconds
l=2, n=23, t=5, Greedy Time: 0.0220 seconds, B&B Time: 0.0010 seconds
l=2, n=24, t=2, Greedy Time: 0.0080 seconds, B&B Time: 0.0000 seconds
l=2, n=24, t=3, Greedy Time: 0.0160 seconds, B&B Time: 0.0000 seconds
l=2, n=24, t=4, Greedy Time: 0.0210 seconds, B&B Time: 0.0000 seconds
l=2, n=24, t=5, Greedy Time: 0.0280 seconds, B&B Time: 0.0010 seconds
l=2, n=25, t=2, Greedy Time: 0.0080 seconds, B&B Time: 0.0000 seconds
l=2, n=25, t=3, Greedy Time: 0.0140 seconds, B&B Time: 0.0000 seconds
l=2, n=25, t=4, Greedy Time: 0.0220 seconds, B&B Time: 0.0000 seconds
l=2, n=25, t=5, Greedy Time: 0.0250 seconds, B&B Time: 0.0010 seconds
l=2, n=26, t=2, Greedy Time: 0.0080 seconds, B&B Time: 0.0000 seconds
l=2, n=26, t=3, Greedy Time: 0.0160 seconds, B&B Time: 0.0000 seconds
l=2, n=26, t=4, Greedy Time: 0.0240 seconds, B&B Time: 0.0000 seconds
l=2, n=26, t=5, Greedy Time: 0.0330 seconds, B&B Time: 0.0000 seconds
l=2, n=27, t=2, Greedy Time: 0.0090 seconds, B&B Time: 0.0000 seconds
l=2, n=27, t=3, Greedy Time: 0.0190 seconds, B&B Time: 0.0000 seconds
l=2, n=27, t=4, Greedy Time: 0.0270 seconds, B&B Time: 0.0010 seconds
l=2, n=27, t=5, Greedy Time: 0.0340 seconds, B&B Time: 0.0010 seconds
l=2, n=28, t=2, Greedy Time: 0.0090 seconds, B&B Time: 0.0010 seconds
l=2, n=28, t=3, Greedy Time: 0.0150 seconds, B&B Time: 0.0000 seconds
l=2, n=28, t=4, Greedy Time: 0.0240 seconds, B&B Time: 0.0000 seconds
l=2, n=28, t=5, Greedy Time: 0.0400 seconds, B&B Time: 0.0000 seconds
l=2, n=29, t=2, Greedy Time: 0.0100 seconds, B&B Time: 0.0000 seconds
l=2, n=29, t=3, Greedy Time: 0.0190 seconds, B&B Time: 0.0000 seconds
l=2, n=29, t=4, Greedy Time: 0.0360 seconds, B&B Time: 0.0000 seconds
l=2, n=29, t=5, Greedy Time: 0.0550 seconds, B&B Time: 0.0010 seconds
l=2, n=30, t=2, Greedy Time: 0.0110 seconds, B&B Time: 0.0000 seconds
l=2, n=30, t=3, Greedy Time: 0.0200 seconds, B&B Time: 0.0000 seconds
l=2, n=30, t=4, Greedy Time: 0.0320 seconds, B&B Time: 0.0000 seconds
l=2, n=30, t=5, Greedy Time: 0.0360 seconds, B&B Time: 0.0010 seconds
l=2, n=31, t=2, Greedy Time: 0.0110 seconds, B&B Time: 0.0010 seconds
l=2, n=31, t=3, Greedy Time: 0.0250 seconds, B&B Time: 0.0010 seconds
l=2, n=31, t=4, Greedy Time: 0.0430 seconds, B&B Time: 0.0000 seconds
l=2, n=31, t=5, Greedy Time: 0.0520 seconds, B&B Time: 0.0000 seconds
l=2, n=32, t=2, Greedy Time: 0.0110 seconds, B&B Time: 0.0000 seconds
l=2, n=32, t=3, Greedy Time: 0.0190 seconds, B&B Time: 0.0010 seconds
l=2, n=32, t=4, Greedy Time: 0.0310 seconds, B&B Time: 0.0000 seconds
l=2, n=32, t=5, Greedy Time: 0.0520 seconds, B&B Time: 0.0000 seconds
l=2, n=33, t=2, Greedy Time: 0.0160 seconds, B&B Time: 0.0010 seconds
l=2, n=33, t=3, Greedy Time: 0.0330 seconds, B&B Time: 0.0000 seconds
l=2, n=33, t=4, Greedy Time: 0.0390 seconds, B&B Time: 0.0010 seconds
l=2, n=33, t=5, Greedy Time: 0.0450 seconds, B&B Time: 0.0000 seconds
l=2, n=34, t=2, Greedy Time: 0.0130 seconds, B&B Time: 0.0000 seconds
l=2, n=34, t=3, Greedy Time: 0.0230 seconds, B&B Time: 0.0000 seconds
l=2, n=34, t=4, Greedy Time: 0.0380 seconds, B&B Time: 0.0010 seconds
l=2, n=34, t=5, Greedy Time: 0.0680 seconds, B&B Time: 0.0010 seconds
l=2, n=35, t=2, Greedy Time: 0.0190 seconds, B&B Time: 0.0000 seconds
l=2, n=35, t=3, Greedy Time: 0.0330 seconds, B&B Time: 0.0000 seconds
l=2, n=35, t=4, Greedy Time: 0.0420 seconds, B&B Time: 0.0010 seconds
l=2, n=35, t=5, Greedy Time: 0.0610 seconds, B&B Time: 0.0020 seconds
l=2, n=36, t=2, Greedy Time: 0.0271 seconds, B&B Time: 0.0010 seconds
l=2, n=36, t=3, Greedy Time: 0.0650 seconds, B&B Time: 0.0000 seconds
l=2, n=36, t=4, Greedy Time: 0.0690 seconds, B&B Time: 0.0010 seconds
l=2, n=36, t=5, Greedy Time: 0.0900 seconds, B&B Time: 0.0010 seconds
l=2, n=37, t=2, Greedy Time: 0.0260 seconds, B&B Time: 0.0000 seconds
l=2, n=37, t=3, Greedy Time: 0.0370 seconds, B&B Time: 0.0000 seconds
l=2, n=37, t=4, Greedy Time: 0.0461 seconds, B&B Time: 0.0010 seconds
l=2, n=37, t=5, Greedy Time: 0.0610 seconds, B&B Time: 0.0010 seconds
l=2, n=38, t=2, Greedy Time: 0.0170 seconds, B&B Time: 0.0000 seconds
l=2, n=38, t=3, Greedy Time: 0.0440 seconds, B&B Time: 0.0010 seconds
l=2, n=38, t=4, Greedy Time: 0.0750 seconds, B&B Time: 0.0010 seconds
l=2, n=38, t=5, Greedy Time: 0.0730 seconds, B&B Time: 0.0010 seconds
l=2, n=39, t=2, Greedy Time: 0.0150 seconds, B&B Time: 0.0010 seconds
l=2, n=39, t=3, Greedy Time: 0.0340 seconds, B&B Time: 0.0020 seconds
l=2, n=39, t=4, Greedy Time: 0.0780 seconds, B&B Time: 0.0000 seconds
l=2, n=39, t=5, Greedy Time: 0.0770 seconds, B&B Time: 0.0011 seconds
l=2, n=40, t=2, Greedy Time: 0.0160 seconds, B&B Time: 0.0010 seconds
l=2, n=40, t=3, Greedy Time: 0.0360 seconds, B&B Time: 0.0000 seconds
l=2, n=40, t=4, Greedy Time: 0.0790 seconds, B&B Time: 0.0010 seconds
l=2, n=40, t=5, Greedy Time: 0.0830 seconds, B&B Time: 0.0000 seconds
l=2, n=41, t=2, Greedy Time: 0.0180 seconds, B&B Time: 0.0010 seconds
l=2, n=41, t=3, Greedy Time: 0.0490 seconds, B&B Time: 0.0020 seconds
l=2, n=41, t=4, Greedy Time: 0.0800 seconds, B&B Time: 0.0010 seconds
l=2, n=41, t=5, Greedy Time: 0.0800 seconds, B&B Time: 0.0010 seconds
l=2, n=42, t=2, Greedy Time: 0.0190 seconds, B&B Time: 0.0000 seconds
l=2, n=42, t=3, Greedy Time: 0.0410 seconds, B&B Time: 0.0010 seconds
l=2, n=42, t=4, Greedy Time: 0.0860 seconds, B&B Time: 0.0010 seconds
l=2, n=42, t=5, Greedy Time: 0.0840 seconds, B&B Time: 0.0010 seconds
l=2, n=43, t=2, Greedy Time: 0.0190 seconds, B&B Time: 0.0000 seconds
l=2, n=43, t=3, Greedy Time: 0.0600 seconds, B&B Time: 0.0000 seconds
l=2, n=43, t=4, Greedy Time: 0.0871 seconds, B&B Time: 0.0000 seconds
l=2, n=43, t=5, Greedy Time: 0.0860 seconds, B&B Time: 0.0000 seconds
l=2, n=44, t=2, Greedy Time: 0.0190 seconds, B&B Time: 0.0000 seconds
l=2, n=44, t=3, Greedy Time: 0.0580 seconds, B&B Time: 0.0000 seconds
l=2, n=44, t=4, Greedy Time: 0.0820 seconds, B&B Time: 0.0000 seconds
l=2, n=44, t=5, Greedy Time: 0.1129 seconds, B&B Time: 0.0010 seconds
l=2, n=45, t=2, Greedy Time: 0.0390 seconds, B&B Time: 0.0020 seconds
l=2, n=45, t=3, Greedy Time: 0.0950 seconds, B&B Time: 0.0010 seconds
l=2, n=45, t=4, Greedy Time: 0.0970 seconds, B&B Time: 0.0010 seconds
l=2, n=45, t=5, Greedy Time: 0.1180 seconds, B&B Time: 0.0000 seconds
l=2, n=46, t=2, Greedy Time: 0.0230 seconds, B&B Time: 0.0000 seconds
l=2, n=46, t=3, Greedy Time: 0.0530 seconds, B&B Time: 0.0010 seconds
l=2, n=46, t=4, Greedy Time: 0.0730 seconds, B&B Time: 0.0010 seconds
l=2, n=46, t=5, Greedy Time: 0.1230 seconds, B&B Time: 0.0010 seconds
l=2, n=47, t=2, Greedy Time: 0.0320 seconds, B&B Time: 0.0010 seconds
